Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-25.51654,44.78408,40.451,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-26.27615,47.20328,40.96506,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-26.27615,47.20328,40.96506,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-28.66586,58.81989,41.47742,6.97541,1.430813,-4.659332,-4.336273,0.4951972,-3.529633,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.1019608,0,0
-34.48392,90.91864,40.66603,23.45148,-0.01312256,-5.042206,9.694771,-0.374054,-3.570343,26.89033,0.3264037,5.356819,18.79251,-1.096588,-3.401398,24.51063,-2.055176,-3.786407,21.30759,0.2909424,1.945162,26.21802,-0.7402344,-1.933044,25.92361,-0.9021301,-1.381531,0.3764706,0.2,0.2156863
-34.86719,104.915,40.62518,39.86953,-1.87616,-6.030273,24.37324,-1.368713,-3.863983,38.07091,1.086954,4.442932,34.46842,-2.213043,-3.906525,37.41253,-3.121429,-4.338501,44.87299,-0.2445984,0.4086991,50.20052,-1.860229,-2.649841,55.07436,-2.140381,-2.202576,0.7372549,0.345098,0.4941176
-28.56683,103.8204,43.08039,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,53.30093,1.876709,3.147941,56.28233,-4.835602,-5.807495,55.39019,-5.48642,-6.072632,69.90253,-2.293121,-1.958405,79.70606,-9.243622,-9.485626,88.11228,-42.66574,-42.39197,1,0.5647059,0.8352941
-21.75101,97.50851,43.09851,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,66.50096,2.130208,1.700466,75.01372,-12.13165,-12.5455,71.12863,-10.62521,-10.70609,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.7529412,1
-12.08859,88.86169,41.79889,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,78.57974,0.9202317,-1.033478,86.0619,-125.1928,-125.129,84.75517,-41.45865,-41.09537,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.9372549,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
